record_id,pairing_status,video_path,video_status,fps,width,height,frame_count,duration_s,timestamp_source,strong_motion_paths,strong_motion_segments,strong_motion_samples,strong_motion_duration_s,pga_horizontal_vector_gal,pga_max_horizontal_component_gal,event_group,camera_id,site_id,scale_state
52,paired,${DATA_ROOT}/视频/52.avi,readable,50.0,2448,2048,3316,66.32,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/52.txt,1,11600,115.99,179.49781675831045,167.165,52,unknown,shake_table_setup_unknown,UNCALIBRATED
53,missing_strong_motion,${DATA_ROOT}/视频/53.avi,readable,50.0,2448,2048,2161,43.22,container_constant_frame_rate_unverified_pts,,0,0,0,nan,nan,53,unknown,shake_table_setup_unknown,UNCALIBRATED
54,paired_split_sensor,${DATA_ROOT}/视频/54.avi,readable,50.0,2448,2048,6238,124.76,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/54-1.txt|${DATA_ROOT}/强震仪/54-2.txt,2,13400,133.98,166.80958361257305,164.444,54,unknown,shake_table_setup_unknown,UNCALIBRATED
55,paired,${DATA_ROOT}/视频/55.avi,readable,50.0,2448,2048,8123,162.46,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/55.txt,1,14000,139.99,186.61247496617153,183.182,55,unknown,shake_table_setup_unknown,UNCALIBRATED
56,missing_strong_motion,${DATA_ROOT}/视频/56.avi,readable,50.0,2448,2048,2758,55.16,container_constant_frame_rate_unverified_pts,,0,0,0,nan,nan,56,unknown,shake_table_setup_unknown,UNCALIBRATED
57,paired,${DATA_ROOT}/视频/57.avi,readable,50.0,2448,2048,4031,80.62,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/57.txt,1,9200,91.99,230.66916825835222,229.431,57,unknown,shake_table_setup_unknown,UNCALIBRATED
58,paired,${DATA_ROOT}/视频/58.avi,readable,49.950052,2448,2048,1273,25.485458954076766,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/58.txt,1,5600,55.99,231.67473556044044,214.076,58,unknown,shake_table_setup_unknown,UNCALIBRATED
59,paired,${DATA_ROOT}/视频/59.avi,readable,50.0,2448,2048,2862,57.24,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/59.txt,1,6800,67.99,222.72729902730828,217.646,59,unknown,shake_table_setup_unknown,UNCALIBRATED
60,paired,${DATA_ROOT}/视频/60.avi,readable,49.950052,2448,2048,1768,35.395358547374485,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/60.txt,1,7000,69.99,281.9566343003832,267.249,60,unknown,shake_table_setup_unknown,UNCALIBRATED
61,paired,${DATA_ROOT}/视频/61.avi,readable,50.0,2448,2048,1034,20.68,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/61.txt,1,5600,55.99,227.97999387665578,227.942,61,unknown,shake_table_setup_unknown,UNCALIBRATED
62,paired,${DATA_ROOT}/视频/62.avi,readable,50.0,2448,2048,1849,36.98,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/62.txt,1,6700,66.99,193.0025342450197,178.354,62,unknown,shake_table_setup_unknown,UNCALIBRATED
63,paired,${DATA_ROOT}/视频/63.avi,readable,50.0,2448,2048,2317,46.34,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/63.txt,1,6800,67.99,289.8214340762256,279.763,63,unknown,shake_table_setup_unknown,UNCALIBRATED
64,paired,${DATA_ROOT}/视频/64.avi,readable,49.950052,2448,2048,1399,28.007978850552547,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/64.txt,1,5800,57.99,253.94893678257446,253.942,64,unknown,shake_table_setup_unknown,UNCALIBRATED
65,paired,${DATA_ROOT}/视频/65.avi,readable,50.0,2448,2048,1221,24.42,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/65.txt,1,6000,59.99,247.00926846173203,246.865,65,unknown,shake_table_setup_unknown,UNCALIBRATED
66,paired,${DATA_ROOT}/视频/66.avi,readable,50.0,2448,2048,1835,36.7,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/66.txt,1,5800,57.99,253.59444471241872,230.741,66,unknown,shake_table_setup_unknown,UNCALIBRATED
67,paired,${DATA_ROOT}/视频/67.avi,readable,49.950052,2448,2048,1871,37.45741846274755,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/67.txt,1,6200,61.99,313.56333088707936,263.106,67,unknown,shake_table_setup_unknown,UNCALIBRATED
68,paired,${DATA_ROOT}/视频/68.avi,readable,50.0,2448,2048,1827,36.54,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/68.txt,1,5800,57.99,244.69022742439063,242.734,68,unknown,shake_table_setup_unknown,UNCALIBRATED
69,paired,${DATA_ROOT}/视频/69.avi,readable,49.950052,2448,2048,1442,28.868838815222855,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/69.txt,1,6100,60.99,293.2268369709703,283.792,69,unknown,shake_table_setup_unknown,UNCALIBRATED
70,paired,${DATA_ROOT}/视频/70.avi,readable,50.0,2448,2048,2300,46.0,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/70.txt,1,6100,60.99,361.22832880326536,333.717,70,unknown,shake_table_setup_unknown,UNCALIBRATED
71,paired,${DATA_ROOT}/视频/71.avi,readable,50.0,2448,2048,1550,31.0,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/71.txt,1,7000,69.99,292.9189628634513,292.674,71,unknown,shake_table_setup_unknown,UNCALIBRATED
72,paired,${DATA_ROOT}/视频/72.avi,readable,49.950052,2448,2048,3606,72.19211703723552,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/72.txt,1,9200,91.99,239.16804494120865,224.94,72,unknown,shake_table_setup_unknown,UNCALIBRATED
74,paired_split_sensor,${DATA_ROOT}/视频/74.avi,readable,50.0,2448,2048,11011,220.22,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/74-1.txt|${DATA_ROOT}/强震仪/74-2.txt,2,23600,235.98000000000002,343.35759798787035,308.06,74,unknown,shake_table_setup_unknown,UNCALIBRATED
75,paired,${DATA_ROOT}/视频/75.avi,readable,49.950052,2448,2048,2076,41.56151829431529,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/75.txt,1,6300,62.99,342.87774103898903,341.966,75,unknown,shake_table_setup_unknown,UNCALIBRATED
76,paired,${DATA_ROOT}/视频/76.avi,readable,50.0,2448,2048,4525,90.5,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/76.txt,1,8000,79.99,300.83724076151213,297.35,76,unknown,shake_table_setup_unknown,UNCALIBRATED
78,paired,${DATA_ROOT}/视频/78.avi,readable,50.0,2448,2048,10197,203.94,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/78.txt,1,13400,133.99,373.9356391466318,345.852,78,unknown,shake_table_setup_unknown,UNCALIBRATED
79,paired,${DATA_ROOT}/视频/79.avi,readable,49.950052,2448,2048,2315,46.34629809794793,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/79.txt,1,5600,55.99,383.61248949949476,376.258,79,unknown,shake_table_setup_unknown,UNCALIBRATED
81,paired,${DATA_ROOT}/视频/81.avi,readable,50.0,2448,2048,2810,56.2,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/81.txt,1,7500,74.99,371.73389057900005,370.878,81,unknown,shake_table_setup_unknown,UNCALIBRATED
